ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
1503,Test Case,5.1.1 Test : Installation of Standalone Controller & Tools software,,,,,,
,,,1,"Installation of Standalone Controller & Tools software on an non-server grade, non Ovation & non domain machine. Record the date, initials for each installation done. Record any issues as findings.",,,,
,,,2,,,,,
,,,3,,,,,
,,,4,,,,,
,,,5,,,,,
,,,6,,,,,
,,,7,,,,,
1504,Test Case,5.1.2 Test : Uninstallation of Standalone Controller & Tools software,,,,,,
,,,1,"Ensure that Uninstallation of Standalone Controller & Tools software can be done without any issues. Record the date, initials for each installation done. Record any issues as findings.",,,,
,,,2,,,,,
1505,Test Case,5.1.3 Test : Installation of Standalone Controller & Tools software update,,,,,,
,,,1,"Ensure that new updates of the SW can be installed correctly. Record the date, initials for each installation done. Record any issues as findings.",,,,
,,,2,"The Standalone Controller & Tools present some new aspects related to licensing as compared to a traditional Ovation system.  In a traditional system, the licensing information is generated and entered on the Database Server.  In a Standalone configuration, however, there is no Database Server.  Because of this, licensing will be done differently.",,,,
,,,3,"	A license will be needed for the instance of the tools running on the user’s laptop/PC.",,,,
,,,4,"	A license will be needed for the Standalone Controller",,,,
,,,5,"	Licensing for the APC toolkit will be associated with the controller",,,,
,,,6,"	Licensing for SCADA/CPS protocols will be associated with the controller",,,,
,,,7,"	Locking codes for the controller license will be generated based upon the controller MAC address",,,,
,,,8,"	The OCC100 point tiers for the OCC100 (OMC100 future) version will be implemented the same as in a Traditional Ovation System.",,,,
1506,Test Case,5.2.1 Test : Verify PC based and Controller MAC ID based licensing required for Standalone Controller & Tools,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
,,,4,,,,,
1507,Test Case,5.2.3 Test : Verify licensing requirements for using APC toolkit software with Standalone Controller & Tools software,,,,,,
,,,1,,,,,
,,,2,,,,,
1508,Test Case,5.2.4 Test : Verify licensing requirements for using CPS protocols with Standalone Controller & Tools software,,,,,,
,,,1,,,,,
,,,2,,,,,
1509,Test Case,5.2.5 Test : Verify OCC100 point tiers based licensing requirements for using OCC100 Controller with Standalone Controller & Tools software,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,The main limitation of the Standalone Controller & Tools is that it is intended for a single controller.  The controller will not be able to receive Ovation points from other Ovation drops.  Runtime data could be shared between 2 or more Standalone Controllers by establishing a datalink connection (i.e. Modbus) between the Standalone Controller.,,,,
,,,4,The Tools used for programming a Standalone Controller are NOT compatible with programming controllers that are already a part of an Ovation System.,,,,
1510,Test Case,5.3.1 Test : Verification of DataLink connection between the Standalone Controller using Third-Party I/O drivers,,,,,,
,,,1,Determine if Runtime data could be shared between 2 or more Standalone Controllers by establishing a datalink connection (i.e. Modbus) between the Standalone Controller,,,,
,,,2,,,,,
,,,3,,,,,
,,,4,,,,,
1511,Test Case,5.3.2 Test : Verification of DataLink connection between the Standalone Controller using the Embedded Ethernet Links provided by the CPS,,,,,,
,,,1,Determine if Runtime data could be shared between 2 or more Standalone Controllers by establishing a datalink connection (i.e. Modbus) between the Standalone Controller,,,,
,,,2,,,,,
,,,3,,,,,
,,,4,,,,,
1512,Test Case,5.3.3 Test : Verification that,,,,,,
,,,1,,,,,
,,,2,,,,,
